Follow;Seguire
Set price;Imposta il prezzo
Sell: 195 x Leather;Vendita: 195 x Pelle
Sell: 175 x Leather;Vendita: 175 x Pelle
Buy: 10 x Air tiara;Acquista: 10 tiara dell'aria
Buy: 2 x Ring mould;Acquista: 2 stampi per anelli
pic;foto
Set quantity;Imposta la quantità
Set wiki price;Imposta il prezzo della wiki
Accept trade;Accetta scambi
Accept;Accettare
Buy: 1 x Mithril gold-trimmed set (lg);Acquista: 1 x set Mithril con finiture in oro (lg)
Buy: 15 x Diamond;Acquista: 15 diamanti
Sell: 55 x Emerald;Vendi: 55 x Smeraldo
Buy: 55 x Emerald;Acquista: 55 x Smeraldo
Buy: 1 x Poison;Acquista: 1 x Veleno
Buy: 34 x Ruby necklace;Acquista: 34 x Collana di rubini
Search for item;Cerca l'oggetto
Sell: 124 x Tuna;Vendita: 124 x Tonno
Buy: 1 x Rune axe;Acquista: 1 x Ascia runica
Sell: 83 x Energy potion(4);Vendi: 83 x Pozione energetica(4)
Check-Count;Verifica-Conteggio
Bash;Bash
Earth Bolt;Bullone di Terra
Earth Wave;Onda terrestre
Water Blast;Esplosione d'acqua
Fire Blast;Esplosione di fuoco
Fire Strike;Colpo di fuoco
Pound;Libbra
Earth Blast;Esplosione della Terra
Choose spell;Scegli l'incantesimo
Fire Bolt;Dardo di fuoco
Push;Spingere
Quantity:;Quantità:
View Smithing on the Wiki;Visualizza Smithing sul Wiki
Pull;Tiro
Buy: 129 x Limpwurt root;Acquista: 129 x Radice di limpwurt
View <col=ff9040>Mining</col> guide;Visualizza la guida <col=ff9040>Estrazione</col>
Buy: 600 x Hammer;Acquista: 600 x Martelli
Pick refreshment;Scegli un rinfresco
Focus;Messa a fuoco
Open <col=ff9040>Morytania Journal</col>;Apri <col=ff9040>Diario di Morytania</col>
Wiki <col=ff9040>Morytania Journal</col>;Wiki <col=ff9040>Diario di Morytania</col>
Wiki <col=ff9040>Varrock Journal</col>;Wiki <col=ff9040>Varrock Journal</col>
Open <col=ff9040>Varrock Journal</col>;Apri <col=ff9040>Diario Varrock</col>
Open <col=ff9040>Western Provinces Journal</col>;Apri <col=ff9040>Giornale delle province occidentali</col>
Wiki <col=ff9040>Western Provinces Journal</col>;Wiki <col=ff9040>Giornale delle province occidentali</col>
Peek;Sbirciare
Disturb;Disturbare
Annuler;Annullatore
Marcher ici;Marcher qui
Examiner;Esaminatore
Add-mulch;Aggiungi pacciame
Reset;Reset
Top-Floor;Ultimo piano
Hit;Colpo
Karamja;Karamja
Draynor Village;Villaggio di Draynor
Al Kharid;Al Kharid
Monastery;Monastero
Ranging Guild;Gilda Vagante
Commune;Comune
Warriors' Guild;Gilda dei Guerrieri
Edgeville;Edgeville
Champions' Guild;Gilda dei Campioni
Craft;Mestiere
Lay;Posizione
Port Sarim;Porto Sarim
Land's End;Fine della Terra
Claim-rewards;Richiedi premi
Take-cargo;Prendi il carico
Take-any-cargo;Prendi qualsiasi carico
Port Piscarilius;Porto Piscarilio
Cancel-task;Annulla attività
Charter;Carta
Sort-salvage;Ordinamento-salvataggio
Take-last-cargo;Prendi l'ultimo carico
Board-previous;Consiglio-precedente
Board-friend;Amico di bordo
Dock;Dock
Make sets:;Crea set:
Smash;Distruggere
Fur Clothing;Abbigliamento in pelliccia
Brimhaven;Brimhaven
Aldarin;Aldarin
Taverley;Tavernley
Default quantity: 200,000,000;Quantità predefinita: 200.000.000
Prifddinas;Prifddinas
Lock-slot;Slot di blocco
Pollnivneach;Pollnivneach
Take-all;Prendi tutto
Rellekka;Rellekka
Tele to POH;Telefonare al POH
Check-health;Controlla-salute
Hosidius;Osidio
WOM lookup;Ricerca WOM
Unload;Scaricare
Contract;Contrarre
Withdraw-200000000;Ritiro-200000000
Rimmington;Rimmington
Deposit-200000000;Deposito-200000000
Deposit-14;Deposito-14
Purchase Amulet;Acquista l'Amuleto
Drink-from;Da bere
Float Canoe;Canoa galleggiante
Travel to<col=ff9040> Lumbridge;Viaggio a<col=ff9040> ​​Lumbridge
Make<col=ff9040> Stable dugout canoe;Costruisci<col=ff9040> ​​una piroga stabile
Walk-Down;Walk-Down
Walk-Up;Walk-Up
Defence;Difesa
Thieving;Ladro
Excavate;Scavare
Take-knife;Coltello da presa
Play-d;Gioca-d
Take-tinderbox;Prendi l'esca
Play-f;Play-f
Play-a;Gioca-a
Play-c;Gioca-c
Observe;Osservare
Play-b;Gioca-b
Play-e;Gioca-e
Play-g;Gioca-g
Switch-emerald;Switch-smeraldo
Switch-diamond;Interruttore-diamante
Switch-sapphire;Switch-zaffiro
Switch-zenyte;Switch-zenite
Switch-onyx;Switch-onice
Switch-ruby;Rubino interruttore
Fight;Combattimento
Toggle K/D;Alterna K/D
Take-seed;Prendi il seme
Take-pickaxe;Prendi il piccone
Dyes;Coloranti
Anadir ignorar;Anadir ignorante
Withdraw-50000;Prelievo-50000
Informe;Informare
activar;attivare
Anadir amigo;Anadir amico
Deposit-50000;Deposito-50000
Accurate;Preciso
Longrange;A lungo raggio
Prod;prod
Talk-into;Parla
Glider;Aliante
Glider-to Ta Quir Priw;Aliante-per Ta Quir Priw
Travel to<col=ff9040> Barbarian Village;Raggiungi <col=ff9040> ​​Villaggio dei Barbari
Travel to<col=ff9040> Edgeville;Viaggia a<col=ff9040> ​​Edgeville
Downgrade;Downgrade
Buy: 1 x Dragon axe;Acquista: 1 x Ascia del drago
Seers' Village;Il villaggio dei veggenti
Camelot;Camelot
Deposit-120000;Deposito-120000
Withdraw-120000;Prelievo-120000
Gehen Sie hier;Gehen Sie hier
Reden mit;Reden con
Prüfen;Prufen
Schließen;Schließen
Tutorial;Esercitazione
Open in browser;Apri nel browser
Pass (private);Pass (privato)
Pass (normal);Superato (normale)
Load X;Carica X
Spike;Arpione
Open-all;Apri tutto
Rapid;Rapido
Hide-in;Nascondersi
Search for traps;Cerca trappole
Default quantity: <col=ff9040>All</col>;Quantità predefinita: <col=ff9040>Tutto</col>
Default quantity: <col=ff9040>X</col>;Quantità predefinita: <col=ff9040>X</col>
Relocate;Trasferirsi
Default quantity: <col=ff9040>10</col>;Quantità predefinita: <col=ff9040>10</col>
Redecorate;Ridecorare
Varrock;Varrock
Bask;Crogiolarsi
Civitas illa Fortis;Civitas illa Fortis
Sunset Coast;Costa del tramonto
Tal Teklan;Tal Teklan
Hunter Guild;Gilda dei cacciatori
The Teomat;Il Teomat
Kastori;Kastori
Last-destination;Ultima destinazione
Cam Torum Entrance;Ingresso Cam Torum
Outer Fortis;Fortezza esterna
Feed;Foraggio
Dondakan;Dondakan
Features;Caratteristiche
Crawl-through;Strisciare
Coin Collection;Collezione di monete
Boss Log;Registro del capo
Miscellania;Miscellanea
Falador;Falador
Deposit-10000;Deposito-10000
Skrach Uglogwee;Skrach Uglogwee
Lumbridge Guide;Guida di Lumbridge
Wartface & Bentnoze;Verruca e naso piegato
King Awowogei;Re Awowogei
Evil Dave;Il malvagio Dave
Mountain Dwarf;Nano di montagna
Pirate Pete;Pietro il pirata
Sir Amik Varze;Sir Amik Varze
Buy: 10 x Stamina potion(4);Acquista: 10 pozioni di resistenza(4)
Pass-through;Passaggio
+99%;+99%
Cut;Taglio
Teleport to <col=ff8040>Nightmare Zone</col>;Teletrasportati nella <col=ff8040>Zona dell'Incubo</col>
Last-destination (DJP);Ultima destinazione (DJP)
Rotate counter-clockwise;Ruotare in senso antiorario
Flick;Flick
Join <col=ff8040>Nightmare Zone</col> channel;Unisciti al canale <col=ff8040>Nightmare Zone</col>
Last-destination (AIS);Ultima destinazione (AIS)
Rotate clockwise;Ruotare in senso orario
Lash;Ciglia
Deflect;Deviare
Buy-food;Acquistare cibo
Buy-items;Acquista oggetti
Decline;Declino
Remove All;Rimuovi tutto
-99%;-99%
Customise-boat;Personalizza la barca
Buy-boat;Acquista-barca
Recover-boat;Barca di recupero
Runecraft;Arte runica
East Ardougne;Ardougne orientale
B;B
Lumbridge;Lumbridge
Get Started;Inizia
Spellbook;Libro degli incantesimi
Sigils;Sigilli
Breach Check;Controllo delle violazioni
Shop;Negozio
Unlocks;Sblocca
Prayers;Preghiere
Sell-10;Vendi-10
Sell-1;Vendi-1
Sell-5;Vendi-5
Sell-50;Vendo-50
Deadman;Uomo morto
Points Info;Informazioni sui punti
About;Di
Sigils Info;Informazioni sui sigilli
Attune;Sintonizzarsi
Remove PvP Protection;Rimuovi la protezione PvP
Deposit-box;Cassetta di sicurezza
Hack;Hack
Travel to platform;Viaggia verso la piattaforma
Walk-across;Attraversarlo
Select <col=ff9040>Confirm</col>;Seleziona <col=ff9040>Conferma</col>
Dream;Sogno
Ammo;Munizioni
Toggle setting;Cambia impostazione
Withdraw-19;Ritiro-19
Default quantity: 19;Quantità predefinita: 19
Manoeuvre-past;Manovra-passato
Buy: 1 x Yellow dye;Acquista: 1 x colorante giallo
View <col=ff9040>Firemaking</col> guide;Visualizza la guida <col=ff9040>Firemaking</col>
Weave;Tessere
Take-boat;Prendi la barca
Ardougne;Ardougne
Withdraw-100;Prelievo-100
Deposit-100;Deposito-100
Remove-coal;Rimuovere il carbone
Tuxedo-time;Tempo di smoking
Turn;Giro
Throw;Gettare
Pummel;Pugno
Add to playlist 1;Aggiungi alla playlist 1
Add to playlist 2;Aggiungi alla playlist 2
Add to playlist 3;Aggiungi alla playlist 3
Sober-Up;Tornare sobri
Give-Sword;Dai-Spada
Ring-bell;Suonare il campanello
Right;Giusto
Left;Sinistra
Shuffle Mode;Modalità casuale
Take-X;Prendi-X
Venerate;Venerare
Take-beer;Prendi la birra
Buy-pass;Acquista pass
Go-through;Passare attraverso
Hide-behind;Nascondersi
Climb-on;Salire
Knock-Out;Tramortire
Set to 7;Impostato su 7
Set to 6;Impostato su 6
Set to 8;Impostato su 8
Set to 3;Impostato su 3
Set to 2;Impostato su 2
Set to 5;Impostato su 5
Set to 4;Impostato su 4
Set to 1;Impostato su 1
Jump-to;Vai a
G;G
E;E
D;D
C;C
A;UN
Play your tune.;Suona la tua melodia.
F#;F#
C#;C#
Default quantity: 100;Quantità predefinita: 100
Deposit-1000;Deposito-1000
Withdraw-1000;Prelievo-1000
Sell: 17 x Big bones;Vendita: 17 x Ossa grandi
Previous;Precedente
45 days membership;45 giorni di abbonamento
Buy Bonds;Acquista obbligazioni
Early Name Change;Cambio di nome anticipato
14 days membership;14 giorni di abbonamento
29 days membership;29 giorni di abbonamento
12 months;12 mesi
View Your Bonds;Visualizza le tue obbligazioni
Add finds;Aggiungi reperti
View journal <col=ff981f>Demon Slayer</col>;Visualizza il diario <col=ff981f>Demon Slayer</col>
Murder;Omicidio
Walk-on;Cammina
Chill;Freddo
Fix;Aggiustare
Take-5;Prendi-5
Take-10;Prendi-10
Bail-with;Bail-con
Comercio con;Commercio con
conjuntos;conjuntos
Eliminar;Eliminatore
Usar;Usar
Gota;Gota
Banco;Banco
Intercambio;Intercambio
Seguir;Seguir
Historia;Storia
Recolectar;Ricolettare
Offer-X<col=ff9040>;Offerta-X<col=ff9040>
Offer<col=ff9040>;Offerta<col=ff9040>
Offer-All<col=ff9040>;Offerta-Tutto<col=ff9040>
Deposit-107;Deposito-107
Offer-10<col=ff9040>;Offerta-10<col=ff9040>
Withdraw-107;Ritiro-107
Offer-5<col=ff9040>;Offerta-5<col=ff9040>
Assignment;Compito
Last-destination (DKS);Ultima destinazione (DKS)
Add Favourite;Aggiungi preferito
Use code;Usa il codice
Destroy ALL;Distruggi TUTTO
Comer;Vieni
Deposit-5000;Deposito-5000
Llevar;Llevar
Precios;Preziosi
Withdraw-5000;Prelievo-5000
Cocinando;Cocinando
BotÃ­n;Botín
Kandarin Monastery;Monastero Kandarin
Default quantity: 107;Quantità predefinita: 107
Empunar;Empunar
Deposito;Deposito
+50%;+50%
Default quantity: 5,000;Quantità predefinita: 5.000
Tener puesto;Tener pusto
-50%;-50%
Vista;Vista
Construir;Costruisci
Subir;Subir
Ingresar;Ingresar
Bajar;Bajar
Lanzar;Lanzar
Mina;Mina
Water Bolt;Bolt d'acqua
Use <col=00ff00>Special Attack</col>;Usa <col=00ff00>Attacco speciale</col>
Select option C;Seleziona l'opzione C
Escape;Fuga
Exchange fire cape;Scambia il mantello da fuoco
Last-destination (CKS);Ultima destinazione (CKS)
-2%;-2%
Watch;Orologio
Bend;Curva
Last-destination (AIQ);Ultima destinazione (AIQ)
Tease;Burlone
Fish;Pescare
Trap;Trappola
Leap;Salto
Mark;Segno
Unmark;Deseleziona
Open GE Tracker to;Apri GE Tracker su
Buy: 1 x Iron scimitar;Acquista: 1 x Scimitarra di ferro
Buy: 1 x Iron platebody;Acquista: 1 x corpo in lamiera di ferro
Sell: 1 x Iron dagger;Vendo: 1 x pugnale di ferro
Wind Strike;Colpo di vento
Fire Wave;Onda di fuoco
Wind Bolt;Bullone del vento
Wind Blast;Scoppio di vento
Earth Surge;Impennata della Terra
Cerrar sesion;Sessione chiusa
Last-destination (BLP);Ultima destinazione (BLP)
Break-down;Guasto
Tag;Etichetta
Trade-in;Permuta
Kitten;Gattino
Scroll map;Scorri la mappa
+2%;+2%
Water Wave;Onda d'acqua
Last-destination (DJR);Ultima destinazione (DJR)
Illegal / harmful content;Contenuti illegali/dannosi
Last-destination (AKR);Ultima destinazione (AKR)
Hammer;Martello
Deposit-600;Deposito-600
Withdraw-600;Ritiro-600
Withdraw-200000;Prelievo-200000
Prospect;Prospettiva
Wind-up;Conclusione
Look-under;Guarda sotto
Jump-on;Salta su
Climb-across;Salire attraverso
Swing-on;Swing-on
Swing-across;Oscillazione
Pay-fare;Tariffa a pagamento
Withdraw-3000;Ritiro-3000
Deposit-3000;Deposito-3000
Cut down;Tagliare
Cut-wood;Legno tagliato
Eperlano;Eperlano
Last-destination (CKR);Ultima destinazione (CKR)
Teeth-grip;Presa dei denti
Last-destination (DKR);Ultima destinazione (DKR)
Pick-apple;Raccogli la mela
Remove-1;Rimuovi-1
Cage;Gabbia
Banknotes;Banconote
Default quantity: 600;Quantità predefinita: 600
Water Strike;Colpo d'acqua
Fire Surge;Ondata di fuoco
Wind Surge;Ondata di vento
Wind Wave;Onda del vento
Water Surge;Ondata d'acqua
Lieutenant;Tenente
General;Generale
Sergeant+;Sergente+
Group Storage;Archiviazione di gruppo
Corporal;Caporale
Anyone;Chiunque
Lieutenant+;Tenente+
Recruit;Reclutare
Corporal+;Caporale+
Captain;Capitano
Options;Opzioni
Captain+;Capitano+
Hiscores;I suoi punteggi
Set prefix;Imposta il prefisso
General+;Generale+
Any friends;Eventuali amici
Recruit+;Recluta+
Sergeant;Sergente
Not ranked;Non classificato
Only me;Solo io
Discard;Scartare
Expel Guests;Espellere gli ospiti
On;SU
Viewer;Spettatore
Call Servant;Chiama Servo
Check materials;Controlla i materiali
X;X
Show voucher items;Mostra articoli voucher
Events;Eventi
Chat;Chiacchierata
Hall;Sala
Apply;Fare domanda a
Edit;Modificare
Members;Membri
Permissions;Autorizzazioni
Withdraw-15;Ritiro-15
Deposit-15;Deposito-15
Dive;Tuffo
Devices;Dispositivi
Charge;Carica
Make-raft;Fai la zattera
Check-gates;Check-gate
Gauntlets;Guanti
Pop;Pop
Quetzacalli Gorge;Gola di Quetzacalli
Salvager Overlook;Salvatore Overlook
Auburnvale;Auburnvale
Quick-exit;Uscita rapida
Turn Dial;Ruota il quadrante
Heal;Guarire
Up;Su
Down;Giù
Take-many;Prendine molti
Withdraw-28;Ritiro-28
Withdraw-65;Ritiro-65
Change-style;Cambia stile
Hasty-rummage;Frugare in fretta
Colossal Wyrm Remains;Resti colossali del Wyrm
Choose;Scegliere
Slide-along;Scorri lungo
Deposit-40;Deposito-40
Withdraw-50;Ritiro-50
Withdraw-40;Ritiro-40
Withdraw-2000;Ritiro-2000
Dive in;Tuffati
Swim to;Nuota fino a
Use-rod;Usa-asta
Swim;Nuotare
Construct;Costruire
Deposit-2000;Deposito-2000
Get in;Entra
Take treasure;Prendi il tesoro
Get-rewards;Ottieni premi
Plant;Pianta
Last-destination (DLQ);Ultima destinazione (DLQ)
Last-destination (AJP);Ultima destinazione (AJP)
Default quantity: 40;Quantità predefinita: 40
Load;Carico
Demolish;Demolire
Quick-escape;Fuga veloce
Buy-plank;Acquista tavola
Leave House;Lascia la casa
Bedroom;Camera da letto
Kitchen;Cucina
Deploy;Distribuire
Deposit-all;Deposita tutto
Un-set;Annulla impostazione
Portal Nexus;Nesso del portale
Sailing Options;Opzioni di navigazione
Treasure room;Stanza del tesoro
Dungeon - Stairs;Dungeon - Scale
Disembark;Sbarcare
Navigate;Navigare
Hall - Skill trophies;Sala: trofei abilità
Set heading;Imposta la direzione
Un-set sails;Vele dismesse
Workshop;Officina
Facilities;Strutture
Musa Point;Punto Musa
Garden;Giardino
Achievement gallery;Galleria dei risultati
Set;Impostato
Raise speed;Aumentare la velocità
Lower speed;Velocità inferiore
Parlour;Salone
League Hall;Sala della Lega
The Pandemonium;Il Pandemonio
Repair-boat;Barca di riparazione
Modify;Modificare
Set sails;Impostare le vele
Default quantity: 2,000;Quantità predefinita: 2.000
Build-trap;Costruisci trappola
Stop-navigating;Interrompi la navigazione
Pry-open;Apri
Bottom-Floor;Piano inferiore
View-tasks;Visualizza-attività
Manage-crew;Gestire l'equipaggio
View-charts;Visualizza grafici
Shoot;Sparare
Recover;Recuperare
Crewmates;Compagni di equipaggio
Board friend's boat;Sali a bordo della barca di un amico
Accept task;Accetta il compito
Deposit-held;Deposito trattenuto
Deposit-cargo;Deposito-carico
Withdraw-7;Ritiro-7
Deposit-7;Deposito-7
Select option B;Seleziona l'opzione B
Default quantity: 7;Quantità predefinita: 7
Withdraw-2;Ritiro-2
Deposit-2;Deposito-2
Last-destination (DKP);Ultima destinazione (DKP)
Reinforce;Rafforzare
Burst;Scoppiare
Reach;Portata
Free;Gratuito
Admire;Ammirare
Scry;Scrutare
Last-destination (AJR);Ultima destinazione (AJR)
Enakhra's Temple;Il Tempio di Enakhra
Check-charge;Verifica addebito
Enakhra's Temple Entrance;Ingresso del tempio di Enakhra
Last-tier contract;Contratto di ultimo livello
Fire-at;Fuoco
Deposit-35000;Deposito-35000
Withdraw-35000;Prelievo-35000
Default quantity: 35,000;Quantità predefinita: 35.000
Deposit-3;Deposito-3
Withdraw-3;Ritiro-3
Collect-data;Raccolta dati
Bloom;Fioritura
Listen;Ascoltare
Hold;Presa
Pick-fruit;Raccogli frutta
Last-destination (CLR);Ultima destinazione (CLR)
Flush;A filo
Last-destination (AKQ);Ultima destinazione (AKQ)
Set-trap;Trappola
Deposit-30;Deposito-30
Withdraw-30;Ritiro-30
Default quantity: 30;Quantità predefinita: 30
Check totals;Controlla i totali
Reverse;Inversione
Stop boat;Fermare la barca
Chase;Caccia
Interact;Interagire
Spectate;Spettatore
Go-down;Scendi
Smell;Odore
Channel;Canale
Toggle-absorption;Assorbimento a levetta
Port Khazard;Porto Khazard
Corsair Cove;Baia dei Corsari
Charter-to Port Sarim;Charter per Port Sarim
Catherby;Catherby
Charter-to Brimhaven;Charter-a Brimhaven
Last-destination (AKS);Ultima destinazione (AKS)
Last-destination (CIS);Ultima destinazione (CIS)
View journal <col=ff981f>Shilo Village</col>;Visualizza il diario <col=ff981f>Shilo Village</col>
View journal <col=ff981f>Priest in Peril</col>;Visualizza il diario <col=ff981f>Sacerdote in pericolo</col>
Withdraw-20000;Ritiro-20000
Get bird;Prendi l'uccello
Quick-Travel;Viaggio veloce
Embark;Imbarcarsi
Take tools;Prendi gli strumenti
Climb Up;Salire
Build on;Continua a costruire
Make <col=ff9040>Ruby ring</col>;Crea un <col=ff9040>anello con rubino</col>
Withdraw-13;Ritiro-13
Make <col=ff9040>Ruby necklace</col>;Realizza <col=ff9040>Collana di rubini</col>
Deposit-13;Deposito-13
Make <col=ff9040>Ruby amulet (u)</col>;Crea <col=ff9040>Amuleto di rubino (u)</col>
Charter-to Catherby;Charter a Catherby
Blow;Soffio
Boost;Aumento
Karamja (Shilo);Karamja (Shilo)
Fremennik;Fremennik
Jars;Vasi
Twiggy O'Korn;Twiggy O'Korn
Desert;Deserto
Configure-Charges;Configura-Addebiti
Lumbridge & Draynor;Lumbridge e Draynor
Ring-configure;Configurazione dell'anello
Karamja (Jungle);Karamja (Giungla)
Ring-Zanaris;Anello-Zanaris
Kourend & Kebos;Kourend e Kebos
Morytania;Moritania
Ring-last-destination (DJR);Chiama l'ultima destinazione (DJR)
Tree;Albero
Western Provinces;Province occidentali
Wilderness;Deserto
Karamja (Mor Ul Rek);Karamja (Mor Ul Rek)
Kandarin;Kandarin
Crafting Guild;Gilda di creazione
Lunar;Lunare
Falador Park;Parco Falador
Farming Guild;Gilda degli agricoltori
Cooking Guild;Gilda della cucina
Fishing Guild;Gilda dei pescatori
Mining Guild;Gilda mineraria
Ring-last-destination (DIS);Chiama l'ultima destinazione (DIS)
Arceuus;Arceuus
Woodcutting Guild;Gilda dei taglialegna
Ancient;Antico
Clip;Clip
Shuffle items up;Mescola gli elementi
Save and Close;Salva e chiudi
Back to bank;Ritorno in banca
Craft-rune;Runa artigianale
Save;Salva
Storage Unlocks;Sblocchi di archiviazione
Climb-through (private);Salita (privata)
Peek (normal);Sbirciatina (normale)
Climb-through (normal);Arrampicata (normale)
Deposit-20000;Deposito-20000
Banish;Bandire
Check runes;Controlla le rune
Blow-on;Soffia
Ring;Squillo
Deposit-1500;Deposito-1500
Withdraw-1500;Ritiro-1500
Disable warning;Disabilita avviso
Leave platform;Lascia la piattaforma
Withdraw-200;Ritiro-200
Deposit-200;Deposito-200
Fend;Affronta
Jab;Colpo
Default quantity: 200;Quantità predefinita: 200
Swipe;Scorri
Pay (north-west);Paga (nord-ovest)
Pay (south-east);Paga (sud-est)
Default quantity: 1,500;Quantità predefinita: 1.500
Change icon (fazenda);Cambia icona (fazenda)
Disable layout;Disabilita layout
Duplicate-item;Articolo duplicato
Remove-layout;Rimuovi layout
Harvest;Raccolto
Cure;Cura
Default quantity: 13;Quantità predefinita: 13
Make <col=ff9040>Dragonstone ring</col>;Realizza <col=ff9040>Anello della pietra del drago</col>
Convert;Convertire
Buy or Redeem Bonds;Acquista o riscatta obbligazioni
Move to Pouch;Passa alla custodia
Move to Inventory;Passa all'inventario
Store-1;Negozio-1
Yes, leave the clan.;Sì, lascia il clan.
Leave Clan;Lascia il clan
Bans;Divieti
Combat Achievements;Risultati di combattimento
Titles;Titoli
Remove friend;Rimuovi amico
Applicants;Candidati
Invigorate;Rinvigorire
Last Destination;Ultima destinazione
Air Altar;Altare dell'Aria
Earth Altar;Altare della Terra
View Runecraft on the Wiki;Visualizza Runecraft sul Wiki
Fire Altar;Altare del fuoco
View <col=ff9040>Magic</col> guide;Visualizza la guida <col=ff9040>Magia</col>
Water Altar;Altare dell'Acqua
Reset Horizontal;Reimposta orizzontale
Resize Horizontal;Ridimensiona orizzontale
Eagles' Eyrie;Nido delle aquile
The Outpost;L'Avamposto
Wizards' Tower;Torre dei maghi
Tackle;Attrezzatura
Form clan;Forma il clan
Invite;Invitare
Withdraw-683;Ritiro-683
Deposit-683;Deposito-683
Ban;Divieto
Guzzle;Guzzle
Default quantity: 1,000;Quantità predefinita: 1.000
<col=ffff00>Set chat mode:</col> Group (/@g);<col=ffff00>Imposta modalità chat:</col> Gruppo (/@g)
Directions;Indicazioni
Withdraw-500000;Preleva-500000
Deposit-500000;Deposito-500000
Unpack;Disimballare
8;8 
7;7 
6;6 
12 months membership;12 mesi di abbonamento
Temple;Tempio
Default quantity: 50;Quantità predefinita: 50
Request;Richiesta
Withdraw All;Ritira tutto
Pay (south);Paga (sud)
Pay (north);Paga (nord)
View <col=ff9040>Cooking</col> guide;Visualizza la guida alla <col=ff9040>Cucina</col>
View <col=ff9040>Thieving</col> guide;Visualizza la guida ai <col=ff9040>Ladri</col>
Another name;Un altro nome
Bonds;Obbligazioni
Look up name;Cerca il nome
Redeem;Riscattare
-3%;-3%
Deposit-1000000;Deposito-1000000
+3%;+3%
Withdraw-1000000;Preleva-1000000
Withdraw-4;Ritiro-4
Put-inside;Metti dentro
Deposit-80;Deposito-80
Deposit-1650;Deposito-1650
Deposit-4000;Deposito-4000
Toggle-respawn;Attiva/disattiva la rigenerazione
Claim Pet Rock;Richiedi Pet Rock
Ok;OK
Deposit-items;Deposito oggetti
Shake;Scuotere
Remove-lid;Rimuovere il coperchio
Buy: 1 x Salve graveyard teleport;Acquista: 1 teletrasporto nel cimitero di Salve
Cast Bloom;Lancia Bloom
Preview;Anteprima
Colour;Colore
Turn page;Volta pagina
Set Destination;Imposta destinazione
Enter Wilderness;Entra nel deserto
Don't go;Non andare
Teleport to Destination;Teletrasportarsi a destinazione
Check-Fee;Commissione di assegno
Use-Lift;Usa-Lift
Polish;Polacco
Enter name;Inserisci il nome
View Guest Count;Visualizza il conteggio degli ospiti
Squeeze-past;Passa oltre
Default quantity: 20,000;Quantità predefinita: 20.000
Take-concoction;Prendi la miscela
Take-5 concoctions;Take-5 intrugli
Talk;Parlare
Take-10 concoctions;Prendi 10 intrugli
Check Scores;Controlla i punteggi
Big-search;Grande ricerca
Help;Aiuto
Take-hammer;Prendi il martello
View journal <col=ff981f>Goblin Diplomacy</col>;Visualizza il diario <col=ff981f>Diplomazia Goblin</col>
Wiki <col=ff9040>Wilderness Journal</col>;Wiki <col=ff9040>Diario della natura selvaggia</col>
Partner;Partner
Log;Tronco d'albero
Open <col=ff9040>Wilderness Journal</col>;Apri <col=ff9040>Diario della natura selvaggia</col>
*;*
Loot broadcasts;Trasmissioni di bottino
Notifications - Leagues;Notifiche - Leghe
Loot broadcast value;Valore di trasmissione del bottino
Combat Achievement tier broadcasts;Trasmissioni del livello di conseguimento del combattimento
Notifications - PvM;Notifiche - PvM
Notifications - PvP;Notifiche - PvP
Edit rank titles;Modifica i titoli di grado
Notifications - Skilling;Notifiche - Competenza
Edit Mode;Modalità Modifica
Finished;Finito
Create;Creare
Buy 50 sets;Acquista 50 set
Buy 5 sets;Acquista 5 set
Cosmetics;Cosmetici
Buy 10 sets;Acquista 10 set
Buy 1 set;Acquista 1 set
Extend;Estendere
Jump-To;Vai a
Pay-toll(2-Ecto);Pedaggio a pagamento (2-Ecto)
Wind;Vento
Worship;Culto
Status;Stato
Jump-down;Salta giù
Translate;Tradurre
Off;Spento
Select <col=ff891f>Grid master torch scroll;Seleziona <col=ff891f>Scorrimento torcia master griglia
Select <col=ff891f>Swords and emblem;Seleziona <col=ff891f>Spade ed emblema
Select <col=ff891f>Swords and emblem (g);Seleziona <col=ff891f>Spade ed stemmi (g)
Select <col=ff891f>Swords and emblem (p);Seleziona <col=ff891f>Spade ed stemmi (p)
Select <col=ff891f>Grid master tabard (p);Seleziona <col=ff891f>Tabella principale della griglia (p)
Select <col=ff891f>Grid master altar icon scroll;Seleziona <col=ff891f>Scorri l'icona dell'altare principale della griglia
View journal <col=ff981f>Shield of Arrav</col>;Visualizza il diario <col=ff981f>Scudo di Arrav</col>
View journal <col=ff981f>Pirate's Treasure</col>;Visualizza il diario <col=ff981f>Tesoro dei pirati</col>
View journal <col=ff981f>Pandemonium</col>;Visualizza il diario <col=ff981f>Pandemonium</col>
View journal <col=ff981f>The Ides of Milk</col>;Visualizza il diario <col=ff981f>The Ides of Milk</col>
Next;Prossimo
Pack;Pacchetto
Fight-privately;Combatti in privato
Quick-climb;Salita veloce
null;nullo
Put-ore-on;Metti il ​​minerale
Fill-bucket;Riempire il secchio
Refuel;Fare rifornimento
View Overview;Visualizza panoramica
Show Menu;Mostra Menù
Sync your collection log with WikiSync;Sincronizza il registro della tua raccolta con WikiSync
Get-log;Ottieni-log
Claim-log-rewards;Ricompense del registro delle richieste
2 Dose;2 Dose
Potion Storage;Deposito di pozioni
4 Dose;4 Dose
1 Dose;1 Dose
3 Dose;3 Dose
Serve;Servire
Set-up;Impostare
