Follow;Volgen
Wiki <col=ff9040>Wilderness Journal</col>;Wiki <col=ff9040>Wildernisjournaal</col>
Partner;Partner
Log;Logboek
Open <col=ff9040>Wilderness Journal</col>;Open <col=ff9040>Wildernisjournaal</col>
*;*
Loot broadcasts;Loot-uitzendingen
Notifications - Leagues;Meldingen - Competities
Loot broadcast value;Buit uitzendwaarde
Combat Achievement tier broadcasts;Uitzendingen van Combat Achievement-niveau
Notifications - PvM;Meldingen - PvM
Notifications - PvP;Meldingen - PvP
Edit rank titles;Rangtitels bewerken
Notifications - Skilling;Meldingen - Vaardigheid
Edit Mode;Bewerkingsmodus
Finished;Afgerond
Create;Creëren
Buy 50 sets;Koop 50 sets
Buy 5 sets;Koop 5 sets
Cosmetics;Cosmetica
Buy 10 sets;Koop 10 sets
Buy 1 set;Koop 1 set
Extend;Verlengen
Jump-To;Ga naar
Pay-toll(2-Ecto);Betaaltol (2-Ecto)
Wind;Wind
Worship;Aanbidden
Status;Status
Jump-down;Naar beneden springen
Translate;Vertalen
Off;Uit
Select <col=ff891f>Grid master torch scroll;Selecteer <col=ff891f>Grid master toorts scrollen
Select <col=ff891f>Swords and emblem;Selecteer <col=ff891f>Zwaarden en embleem
Select <col=ff891f>Swords and emblem (g);Selecteer <col=ff891f>Zwaarden en embleem (g)
Select <col=ff891f>Swords and emblem (p);Selecteer <col=ff891f>Zwaarden en embleem (p)
Select <col=ff891f>Grid master tabard (p);Selecteer <col=ff891f>Tabblad Rastermaster (p)
Select <col=ff891f>Grid master altar icon scroll;Selecteer <col=ff891f>Gridmaster-altaarpictogram scrollen
View journal <col=ff981f>Shield of Arrav</col>;Bekijk dagboek <col=ff981f>Schild van Arrav</col>
View journal <col=ff981f>Pirate's Treasure</col>;Bekijk dagboek <col=ff981f>Pirate's Treasure</col>
View journal <col=ff981f>Pandemonium</col>;Bekijk dagboek <col=ff981f>Pandemonium</col>
View journal <col=ff981f>The Ides of Milk</col>;Bekijk tijdschrift <col=ff981f>The Ides of Milk</col>
Next;Volgende
Pack;Pak
Fight-privately;Vecht privé
Quick-climb;Snel klimmen
null;nul
Put-ore-on;Zet erts op
Fill-bucket;Vul-emmer
Refuel;Bijtanken
View Overview;Bekijk overzicht
Show Menu;Toon menu
Sync your collection log with WikiSync;Synchroniseer uw verzamelingslogboek met WikiSync
Get-log;Logboek ophalen
Claim-log-rewards;Claim-log-beloningen
2 Dose;2 Dosis
Potion Storage;Drankjesopslag
4 Dose;4 Dosis
1 Dose;1 Dosis
3 Dose;3 Dosis
Serve;Dienen
Set-up;Opstelling
Assign member ranks;Wijs ledenrangen toe
Combat Achievement task broadcasts;Combat Achievement-taakuitzendingen
Last-destination (CLS);Laatste bestemming (CLS)
Edit rank;Rang bewerken
50;50 
Release all placeholders;Geef alle tijdelijke aanduidingen vrij
Enable inventory locks;Schakel voorraadvergrendelingen in
Show right-click options;Rechtsklikopties weergeven
Unlock-slot;Ontgrendelslot
Jump-off;Afspringen
Hurdle;Hindernis
Pull-spade;Trek-schop
Walk-through;Doorloop
Not now;Niet nu
Jump-Down;Spring naar beneden
Clear all;Alles wissen
Withdraw-652;Intrekken-652
Deposit-652;Borg-652
Deposit-57;Borg-57
Withdraw-66;Intrekken-66
Withdraw-57;Intrekken-57
Withdraw-63;Intrekken-63
Hide <col=ff9040>Minimap</col>;Verberg <col=ff9040>Minimap</col>
Show <col=ff9040>Minimap</col>;Toon <col=ff9040>Minikaart</col>
Remove<col=ff9040> Focus;Verwijder<col=ff9040> ​​Focus
Default quantity: 57;Standaard aantal: 57
Select option A;Selecteer optie A
Deposit-208;Borg-208
Withdraw-208;Intrekken-208
Withdraw-236;Intrekken-236
Default quantity: 208;Standaardhoeveelheid: 208
Stroke;Hartinfarct
Pan;Pan
Gem Mine;Edelsteen van mij
Mount Karuulm;Mount Karuulm
Kourend Woodland;Kourend bos
Withdraw-195;Intrekken-195
Withdraw-2400;Intrekken-2400
Deposit-195;Borg-195
View Friends List;Bekijk vriendenlijst
Add Name;Naam toevoegen
Delete Name;Naam verwijderen
Water;Water
Open link;Link openen
Default quantity: 195;Standaardhoeveelheid: 195
Get-training;Krijg training
Bank-cargo;Banklading
Honour;Eer
Close storage tab;Sluit het tabblad Opslag
Charter-to Port Piscarilius;Charter naar haven Piscarilius
Direct-portal;Direct-portaal
Deepfin Point;Deepfin-punt
Quiver-Remove;Quiver-Verwijderen
Assign;Toewijzen
Port Roberts;Haven Roberts
Check-ammunition;Controle-munitie
Command;Commando
Change loadout name;Wijzig de uitrustingsnaam
Default quantity: 50,000;Standaardhoeveelheid: 50.000
Open storage tab;Open het tabblad Opslag
Reset-ammunition;Reset-munitie
Stop following Captain's target;Stop met het volgen van het doel van de Kapitein
Clear target;Duidelijk doel
Unassign;Toewijzing ongedaan maken
Assign to crew slot 5;Wijs toe aan bemanningsslot 5
Assign to crew slot 1;Wijs toe aan bemanningsslot 1
Jatizso;Jatizso
Clear crew slot 1;Bemanningsslot 1 vrijmaken
Clear crew slot 5;Maak bemanningslot 5 vrij
Neitiznot;Neitiznot
Follow Captain's target;Volg het doel van de kapitein
Cancel task;Taak annuleren
Set Hotkey (A);Sneltoets instellen (A)
Set Hotkey (3);Sneltoets instellen (3)
Set Hotkey (7);Sneltoets instellen (7)
Set Hotkey (4);Sneltoets instellen (4)
Set Hotkey (8);Sneltoets instellen (8)
Pay (Celastrus tree);Betalen (Celastrusboom)
Pay (Spirit tree);Betalen (Geestboom)
Set Hotkey (9);Sneltoets instellen (9)
Pick-coconut;Pick-kokosnoot
Set Hotkey (F);Sneltoets instellen (F)
Set Hotkey (B);Sneltoets instellen (B)
Set Hotkey (D);Sneltoets instellen (D)
Set Hotkey (C);Sneltoets instellen (C)
Set Hotkey (5);Sneltoets instellen (5)
Set Hotkey (6);Sneltoets instellen (6)
Deposit-420000;Borg-420000
Withdraw-420000;Intrekken-420000
Default quantity: 420,000;Standaardhoeveelheid: 420.000
Last-destination (CJR);Laatste bestemming (CJR)
Last-destination (CIQ);Laatste bestemming (CIQ)
Last-destination (CIR);Laatste bestemming (CIR)
Hang-over;Kater
Withdraw-5529;Intrekken-5529
Deposit-5529;Borg-5529
Default quantity: 5,529;Standaardhoeveelheid: 5.529
Ardougne Farm;Ardougne-boerderij
Dump;Dumpen
Withdraw 3;Intrekken 3
Alchemy;Alchimie
Withdraw 4;Intrekken 4
Energy;Energie
Withdraw 1;Intrekken 1
Signal;Signaal
Withdraw X;X intrekken
Rumour;Gerucht
Pay (south-west);Betaal (zuidwest)
Pay (north-east);Betaal (noordoost)
Pay (tree patch);Betalen (boomveld)
Glade;Glade
Ring-last-destination (AKQ);Ring-laatste bestemming (AKQ)
Release wind mote;Laat de windmot los
Release-mote;Laat los
Retrieve;Uittreden
Rod-fish;Hengelvis
Summon;Roep op
Remove-Favourite;Favoriet verwijderen
Pick-dragonfruit;Pick-drakenfruit
Remove Favourite;Favoriet verwijderen
Functions;Functies
Last-destination (DLP);Laatste bestemming (DLP)
Break-crystals;Breekkristallen
Work-at;Werk-bij
Start-previous-rank;Start-vorige-rang
Start-trial;Start-proefperiode
Jump-across;Spring over
Last-destination (ALP);Laatste bestemming (ALP)
Sell: 3 x Iron arrow;Verkoop: 3 x ijzeren pijl
Quick-Pay(100);Snel betalen(100)
Send-parcel;Pakket versturen
Reset Safe;Veilig opnieuw instellen
Set to 9;Stel in op 9
Raise an Octave.;Verhoog een octaaf.
Previous Page.;Vorige pagina.
Next page.;Volgende pagina.
Release all placeholders (89);Alle tijdelijke aanduidingen vrijgeven (89)
High-Alchemy;Hoge alchemie
Preach;Prediken
Config;Configuratie
Southern entrance;Zuidelijke ingang
Middle entrance;Middelste ingang
Northern entrance;Noordelijke ingang
Deposit loot;Buit storten
Lithkren Dungeon;Lithkren-kerker
Climb Down;Klim naar beneden
Seeds;Zaden
Stun;Verdoven
Digsite;Digsite
Set Hotkey (M);Sneltoets instellen (M)
Dondakan's Rock;Dondakans rots
Set Hotkey (I);Sneltoets instellen (I)
Set Hotkey (K);Sneltoets instellen (K)
Set Hotkey (N);Sneltoets instellen (N)
Set Hotkey (L);Sneltoets instellen (L)
Last-destination (ALS);Laatste bestemming (ALS)
Descend;Afdalen
Weiss;Weiss
Withdraw-503;Intrekken-503
Scoreboard;Scorebord
Withdraw-38;Intrekken-38
Default quantity: 38;Standaard aantal: 38
Withdraw-25;Intrekken-25
Withdraw-604;Intrekken-604
Deposit-26;Borg-26
Withdraw-26;Intrekken-26
Deposit-25;Borg-25
Withdraw-220;Intrekken-220
Deposit-36;Borg-36
Deposit-115;Borg-115
Withdraw-115;Intrekken-115
Withdraw-36;Intrekken-36
Standard;Standaard
Play-fetch;Speel-haal
Climb up;Klim omhoog
Lletya;Lletya
Default quantity: 115;Standaard aantal: 115
Target;Doel
Activity;Activiteit
Enter-corrupted;Enter-corrupt
Area Mode;Gebiedsmodus
Single Mode;Enkele modus
Skip Track;Nummer overslaan
Sing-crystal;Zing-kristal
Fill-from;Vul-van
Set Hotkey (2);Sneltoets instellen (2)
Set Hotkey (1);Sneltoets instellen (1)
Slayer Master;Moordenaar Meester
Unblock;Deblokkeren
Raise;Salarisverhoging
Raise net;Net omhoog brengen
Lower net;Lager netto
Lower;Lager
Claim-slime;Claim-slijm
Port Phasmatys;Haven Phasmatys
Charter-to Port Phasmatys;Charter-naar-haven Phasmatys
Deposit-4;Storting-4
Default quantity: 4;Standaardhoeveelheid: 4
Withdraw-40000;Intrekken-40000
Deposit-40000;Borg-40000
Buy: 1 x Green dragonhide set;Koop: 1 x set groene drakenhuiden
Poke;Por
Jump off;Spring eraf
Burgh Teleport;Burgh Teleport
Ecto Teleport;Ecto Teleport
Withdraw-1168;Intrekken-1168
Deposit-1168;Borg-1168
Store-preform;Bewaar-voorvorm
Commission;Commissie
Quench-preform;Afschrik-voorvorm
Heat-preform;Warmte-voorvorm
Cool-preform;Cool-voorvorm
Hand-in;Inleveren
Dunk-preform;Dunk-voorvorm
Pour;Giet
Last-destination (CKP);Laatste bestemming (CKP)
Look-over;Kijk over
Awaken;Ontwaken
Fuel;Brandstof
Next page;Volgende pagina
New partner;Nieuwe partner
Remove from playlist 1;Verwijderen uit afspeellijst 1
Default quantity: 40,000;Standaardhoeveelheid: 40.000
Ascend;Stijgen
Deposit-2194;Borg-2194
Withdraw-2194;Intrekken-2194
Default quantity: 2,194;Standaardhoeveelheid: 2.194
Destruir;Destruir
Deposit-300;Borg-300
Withdraw-300;Intrekken-300
Claim-runes;Claim-runen
Step-into;Stap in
Default quantity: 300;Standaardhoeveelheid: 300
Withdraw-2253;Intrekken-2253
Withdraw-31;Intrekken-31
Withdraw-2236;Intrekken-2236
Deposit-2236;Borg-2236
Withdraw-2539;Intrekken-2539
Withdraw-5408;Intrekken-5408
Withdraw-527;Intrekken-527
Default quantity: 15;Standaardhoeveelheid: 15
Set Hotkey (E);Sneltoets instellen (E)
Cut-vine;Snijwijnstok
Camarones;Camaronen
Hardcore Ironman Group;Een hardcore Ironman-groep
Default quantity: 2,236;Standaardhoeveelheid: 2.236
Deposit-680;Borg-680
Withdraw-680;Intrekken-680
Rescue;Redden
Default quantity: 680;Standaardhoeveelheid: 680
Deposit-4328;Borg-4328
Withdraw-4328;Intrekken-4328
Withdraw-4952;Intrekken-4952
Withdraw-5944;Intrekken-5944
Deposit-4952;Borg-4952
Default quantity: 4,952;Standaardhoeveelheid: 4.952
Default quantity: 5,944;Standaardhoeveelheid: 5.944
Withdraw-8376;Intrekken-8376
Withdraw-8480;Intrekken-8480
Deposit-8376;Borg-8376
Spring;Lente
Safety switch;Veiligheidsschakelaar
Gear;Versnelling
Withdraw-11896;Intrekken-11896
Deposit-11896;Deposit-11896
Gandius;Gandius
Kar-Hewo;Kar-Hewo
Swing;Schommel
Craft-repair-kits;Ambachtelijke reparatiesets
Craft-hull-parts;Ambachtelijke romponderdelen
Contact Master;Neem contact op met Meester
View Laps;Ronden bekijken
Tarn's Lair;Tarn's schuilplaats
Dark Beasts;Donkere beesten
Slayer Tower;Slayer-toren
Toggle Counter;Schakel teller in
Open Log;Logboek openen
Stronghold;Bolwerk
Fremennik Dungeon;Fremennik-kerker
Parler Ã ;Parler Ã 
Retirer-X;Gepensioneerde-X
Activer;Actiever
Retirer-5;Gepensioneerde-5
Suivre;Suivre
Retirer-1;Gepensioneerde-1
Rapport;Rapport
Retirer-tout;Gepensioneerde-tout
Retirer-10;Gepensioneerde-10
Configurer;Configurator
Retirer-tout-sauf-1;Gepensioneerde-tout-sauf-1
Commerce;Handel
Marchez ici;Marchez ici
Ã‰changez avec;Ã‰changez avec
Descendre;Afdalen
Banque;Bank
Abattre;Abattre
Collecter;Verzamelaar
Ouvrir;Ouvrir
Remove-one;Verwijder één
Lap-count;Rondetelling
Cooking;Koken
Default quantity: 11,896;Standaardhoeveelheid: 11.896
Ban guest;Gast verbieden
Kick guest;Kick gast
Assemble;Monteren
Quick-Board;Snelbord
Move Schematic Left;Verplaats schema naar links
Select Schematic Two;Selecteer Schema Twee
Select Schematic One;Selecteer Schema één
Select Schematic Three;Selecteer Schema Drie
Move Schematic Down;Schema omlaag verplaatsen
Move Schematic Up;Schema omhoog verplaatsen
Rotate the image;Draai de afbeelding
Move Schematic Right;Verplaats schema naar rechts
Jump-through;Doorspringen
Withdraw-29;Intrekken-29
Deposit-29;Borg-29
Default quantity: 29;Standaard aantal: 29
Set Hotkey (J);Sneltoets instellen (J)
Set Hotkey (O);Sneltoets instellen (O)
Set Hotkey (H);Sneltoets instellen (H)
Set Hotkey (G);Sneltoets instellen (G)
Last-destination (BJS);Laatste bestemming (BJS)
Check-permissions;Controleer rechten
Background-music;Achtergrondmuziek
Play-quietly;Speel rustig
Entertain;Vermaken
Disarm;Ontwapenen
Sync WOM Group;Synchroniseer WOM-groep
Withdraw-800;Intrekken-800
Deposit-800;Borg-800
Retrieve-egg;Ophalen-ei
Expanded;Uitgebreid
Preview auto layout;Voorbeeld van automatische lay-out
Toggle warning;Schakel waarschuwing in
Climb through;Klim er doorheen
Check count;Controleer aantal
Withdraw-150;Intrekken-150
Disassemble;Demonteren
Deposit-150;Borg-150
Gloomthorn Trail;Gloomthorn-pad
Make party;Maak feest
Destinations;Bestemmingen
Reload;Herladen
Disband;Ontbinden
Advertise (15);Adverteren (15)
Set-difficulty;Moeilijkheidsgraad instellen
Claim-cape;Claim-cape
Attract;Aantrekken
Start raid;Begin een inval
Impale;Spietsen
Bank all;Alles bankieren
Smoke Barrage;Rook spervuur
Smoke Blitz;Rookblitz
Blood Blitz;Bloed Blitz
Smoke Burst;Rook barstte
Ice Barrage;Ijs spervuur
Douse;Doof
Blood Barrage;Bloed spervuur
Shadow Blitz;Schaduwblitz
Dispel;Verdrijven
Shadow Barrage;Schaduw spervuur
Reap;Oogst
Bank-all;Bank-alles
Inferior Demonbane;Inferieure demonbaan
North Aldarin;Noord-Aldarin
Darkfrost;Donkere vorst
Ralos' Rise;De opkomst van Ralos
Deposit runes;Stort runen
Twilight Temple;Schemering Tempel
Nemus Retreat;Nemus-retraite
Superior Demonbane;Superieure demonbaan
Dark Demonbane;Donkere demonbaan
Delve-stats;Delve-statistieken
Claim and leave;Claimen en vertrekken
General-stats;Algemene statistieken
Teleport to <col=ff8040>Clan Wars</col>;Teleporteer naar <col=ff8040>Clanoorlogen</col>
Join <col=ff8040>Clan Wars</col> channel;Sluit je aan bij het <col=ff8040>Clan Wars</col>-kanaal
Use this layout;Gebruik deze lay-out
Withdraw-80;Intrekken-80
Quick-slide;Snelle dia
Slide;Dia
Visual-effects;Visuele effecten
Toggle-talisman;Toggle-talisman
Deposit-runes;Deposit-runen
Power-up;Opstarten
Take-chisel;Neem-beitel
Place-cell;Plaats-cel
Take-1;Neem-1
Dark Mage;Donkere Magiër
View-stats;Bekijk statistieken
View-glory;Uitzicht-glorie
Pluck;Plukken
Inflate;Opblazen
Claim-arrows;Claim-pijlen
Release All;Laat alles los
Walk through;Loop door
Claim-hats;Claim-hoeden
Check kills;Controleer moorden
Check-on;Inchecken
Take-uniform;Neem een ​​uniform
Listen-at;Luister mee
Watermill;Watermolen
Mines;Mijnen
Cellar;Kelder
Buy-sphere;Koop-sfeer
Untie;Losmaken
Attach/Detach Pipe;Pijp bevestigen/losmaken
Glider-to Gandius;Zweefvliegtuig naar Gandius
Take-sigil;Neem sigil
Take-net;Take-net
Melt;Smelten
Reinvigorate;Nieuw leven inblazen
Take-rock;Neem-rock
Kalphite cave;Kalfitische grot
Nardah;Nardah
Make unfinished potion(s);Maak onvoltooide drankjes
Pages;Pagina's
Trollheim;Trolheim
Discard-All;Alles weggooien
Remove-room;Verwijder-kamer
Make <col=ff9040>Gold ring</col>;Maak <col=ff9040>Gouden ring</col>
Make <col=ff9040>Gold necklace</col>;Maak <col=ff9040>Gouden ketting</col>
Swing across;Zwaai over
Pick-orange;Pluk-sinaasappel
Buy: 5 x Ranarr seed;Koop: 5 x Ranarr-zaad
Deposit buckets;Stort emmers
Claim Sand;Zand claimen
Ferry;Veerboot
Surface;Oppervlak
Solo-start;Solo-start
Rotate-right;Draai naar rechts
Fill-jug;Vul-kan
Align;Uitlijnen
Rotate-left;Linksom draaien
Rebalance;Opnieuw in evenwicht brengen
Cleanse;Reinigen
Grab-feather;Grijpveer
Level;Niveau
Set Junction;Kruispunt instellen
Control;Controle
Return;Opbrengst
Listen-to;Luister naar
Crawl-down;Naar beneden kruipen
Start;Begin
Use-Driftwood;Gebruik-drijfhout
View Stats;Bekijk statistieken
Refresh Data;Gegevens vernieuwen
Repairs;Reparaties
Folgen;Volg
Attacke;Aanval
Nehmen;Nehmen
Entfernen;Entfernen
Bericht;Bericht
Handeln mit;Handel mit
Fällen;Gevallen
Ausloggen;Ausloggen
Ausüben;Ausüben
Tropfen;Tropfen
Suchen;Zo'n
Verwenden;Verwenden
Beten;Beten
Taschendieb;Taschendieb
Handeln;Händel
Eingeben;Eingeben
Austausch;Austausch
Herabsteigen;Herabsteigen
Hochklettern;Hochklettern
Sammeln;Sammeln
Kochen;Kochen
Kaution;Voorzichtigheid
Stehlen von;Stehlen von
Tragen;Tragen
Essen;Essen
aktivieren Sie;actief maken
Sicht;Zie
Beute;Beut
Bauen;Bauen
Earth Strike;Aarde aanval
+30%;+30%
Offer-fish;Aanbieding-vis
-30%;-30%
Place;Plaats
Big-push;Grote druk
Unhide;Zichtbaar maken
Stint;Stint
Preise;Prijs
Geschichte;Geschicht
Gießen;Giessen
Crack;Scheur
Ignorieren hinzufügen;Negeer de aanwijzingen
Wert;Waar
Freund hinzufügen;Freund hinzufügen
Heim;Heim
Baumodus;Baumodus
Haus eines Freundes;Haus eines Freundes
Besorgen;Besorgen
Climb-under;Klim onder
Jump-Over;Overspringen
Store<col=ff9040>;Opslaan<col=ff9040>
Preen;Gladstrijken
Tether;Tether
Forfeit;In beslag nemen
Cook-at;Koken bij
Check-ammo;Controleer munitie
Untether;Maak los
Last-destination (BIQ);Laatste bestemming (BIQ)
Last-destination (BIS);Laatste bestemming (BIS)
Last-destination (BIP);Laatste bestemming (BIP)
Crown Info;Kroon-informatie
Last-destination (BLR);Laatste bestemming (BLR)
Complete;Compleet
Climb over;Klim er overheen
Withdraw-56;Intrekken-56
Default quantity: 56;Standaard aantal: 56
Smash-to-bits;In stukken slaan
Enchant-Vials;Betover-flesjes
Trade-Co-op;Handelscoöperatie
Trade-Drinks;Handelsdrankjes
Squeeze-Through;Doorknijpen
Fly;Vlieg
Relax;Ontspannen
Sandbags;Zandzakken
Tug;Sleepboot
Logs;Logboeken
Bail;Borgtocht
Emergency tug;Noodsleepboot
Preferences;Voorkeuren
Games room;Speelkamer
Combat room;Gevechtsruimte
Dining room;Eetkamer
Re-light;Opnieuw aansteken
Ring-last-destination (AIP);Ring-laatste bestemming (AIP)
Spin-globe;Spin-bol
Take-candy;Neem snoep
Set destination;Bestemming instellen
Teleport to destination;Teleporteren naar bestemming
eat;eten
Cast Spell;Spreek spreuk uit
Lift;Tillen
Sell: 28 x Bucket of water;Verkoop: 28 x Emmer water
Buy: 350 x Bucket;Koop: 350 x Emmer
Sell: 392 x Bucket of water;Verkoop: 392 x Emmer water
Withdraw-9;Intrekken-9
Deposit-9;Storting-9
Withdraw-27;Intrekken-27
Deposit-27;Borg-27
Sell: 500 x Logs;Verkoop: 500 x boomstammen
Default quantity: 27;Standaard aantal: 27
Sell: 494 x Banana;Verkoop: 494 x Banaan
Sell: 390 x Banana;Verkoop: 390 x Banaan
Buy: 400 x Bones;Koop: 400 x botten
Sell: 300 x Banana;Verkoop: 300 x Banaan
cast;vorm
Sell: 416 x Banana;Verkoop: 416 x Banaan
Default quantity: 9;Standaardhoeveelheid: 9
Sell: 100 x Pastry dough;Verkoop: 100 x Gebakdeeg
Buy: 200 x Pot of flour;Koop: 200 x Pot meel
Sell: 1,064 x Bucket of water;Verkoop: 1.064 x Emmer water
Sell: 252 x Bucket of water;Verkoop: 252 x Emmer water
Toggle-minerals;Toggle-mineralen
Take-bowl;Neem-kom
Accept exchange;Accepteer uitwisseling
Insert coin;Munt insteken
Cancel exchange;Annuleer de uitwisseling
Use col;Gebruik kol
Activate machine;Activeer machine
Unlock machine;Ontgrendel de machine
Cancel operation;Annuleer de bewerking
Rank;Rang
Sell: 1,010 x Banana;Verkoop: 1.010 x Banaan
Last-destination (CIP);Laatste bestemming (CIP)
Set name;Naam instellen
wield;hanteren
Sell: 99 x Bones;Verkoop: 99 x botten
Sell: 23 x Logs;Verkoop: 23 x boomstammen
Withdraw-25000000;Intrekken-25000000
Sell: 1 x Old school bond;Verkoop: 1 x Oldschoolobligatie
Withdraw-100000;Intrekken-100000
Deposit-25000000;Storting-25000000
Buy: 2 x Steel scimitar;Koop: 2 x stalen kromzwaard
Default quantity: 100,000;Standaardhoeveelheid: 100.000
Buy: 1 x Studded body;Koop: 1 x lichaam met studs
Deposit-100000;Storting-100000
Beanspruchen;Bonenpruchen
Smoke;Rook
Last-destination (BJR);Laatste bestemming (BJR)
Deposit-250;Borg-250
Withdraw-43;Intrekken-43
Withdraw-250;Intrekken-250
Deposit-43;Borg-43
Default quantity: 18;Standaardhoeveelheid: 18
Withdraw-1971;Intrekken-1971
Withdraw-1601;Intrekken-1601
Deposit-1601;Borg-1601
Withdraw-552;Intrekken-552
Deposit-552;Borg-552
Withdraw-5128;Intrekken-5128
Deposit-5128;Borg-5128
Withdraw-72000;Intrekken-72000
Deposit-72000;Borg-72000
Default quantity: 72,000;Standaardhoeveelheid: 72.000
Default quantity: 26;Standaard aantal: 26
Buy X;Koop X
Withdraw-1092;Intrekken-1092
Ring-last-destination (DLQ);Bel laatste bestemming (DLQ)
Remove-decorations;Verwijder-decoraties
Jump on;Spring verder
-1%;-1%
+1%;+1%
Pick-leaf;Plukblad
Last-destination (CJQ);Laatste bestemming (CJQ)
Throw-water direction;Gooi-water richting
Throw-water;Gooi-water
Check-level;Controleniveau
Strike;Staking
Cut-branch;Snijtak
Deposit-13000;Borgsom-13000
Withdraw-13000;Intrekken-13000
Play-With;Speel-met
Trophies;Trofeeën
Talk-At;Praat-bij
Deposit-7785;Borg-7785
Withdraw-7785;Intrekken-7785
Mount;Monteren
Unstuff;Ontstoppen
Change-clothes;Verander kleding
Detach;Losmaken
Paint;Verf
Ring-last-destination (AJP);Ring-laatste bestemming (AJP)
Easter dance;Paasdans
Dance;Dans
Whack;Wikkel
Divine;Goddelijk
Duel;Duel
Invoke;Aanroepen
Change icon (herb run);Pictogram wijzigen (kruidenrun)
Look out;Kijk uit
Last-destination (DIP);Laatste bestemming (DIP)
Ta Quir Priw;Ta Quir Priw
Deposit-9000;Borg-9000
Withdraw-9000;Intrekken-9000
Vote Now;Stem nu
Withdraw-144000;Intrekken-144000
Give;Geven
Withdraw-45;Intrekken-45
Deposit-45;Borg-45
Sell: 1 x Plank;Verkoop: 1 x Plank
Buy: 5 x Bolt of cloth;Koop: 5 x Bolt stof
Withdraw-Notes;Intrekken-notities
Remove-Placeholder;Verwijderen-placeholder
Remove-All-Placeholders;Verwijder alle tijdelijke aanduidingen
Pay (Redwood tree);Betalen (Redwood-boom)
Collection-log;Verzamellogboek
View Tasks;Taken bekijken
Easy Tasks;Gemakkelijke taken
Lookup-boss;Opzoek-baas
Medium Tasks;Middelgrote taken
View Bosses;Bekijk bazen
Select <col=ff981f>Grandmaster;Selecteer <col=ff981f>Grootmeester
Select <col=ff981f>Easy;Selecteer <col=ff981f>Gemakkelijk
Select <col=ff981f>Medium;Selecteer <col=ff981f>Gemiddeld
View Rewards;Bekijk beloningen
Select <col=ff981f>Master;Selecteer <col=ff981f>Master
Elite Tasks;Elite-taken
Hard Tasks;Moeilijke taken
Select <col=ff981f>Elite;Selecteer <col=ff981f>Elite
Select <col=ff981f>Hard;Selecteer <col=ff981f>Moeilijk
Master Tasks;Hoofdtaken
Grandmaster Tasks;Grootmeestertaken
Withdraw-150000;Intrekken-150000
Deposit-150000;Borg-150000
Default quantity: 150,000;Standaardhoeveelheid: 150.000
Withdraw-888;Intrekken-888
Clear-All;Alles wissen
Climb-through;Doorklim
Withdraw-15000;Intrekken-15000
Deposit-15000;Borgsom-15000
Withdraw-826;Intrekken-826
Withdraw-120;Intrekken-120
Deposit-19;Borg-19
Default quantity: 3;Standaardhoeveelheid: 3
Deposit-264;Borg-264
Withdraw-264;Intrekken-264
Withdraw-119;Intrekken-119
Deposit-119;Borg-119
Plank sack;Plankenzak
Amy's saw;Amy's zaag
Carpenter's boots;Timmermanslaarzen
Carpenter's trousers;Timmermansbroek
Carpenter's shirt;Timmermanshemd
Hosidius blueprints;Hosidius-blauwdrukken
Supply crate;Levering krat
Carpenter's helmet;Timmermanshelm
Withdraw-20;Intrekken-20
Deposit-20;Borg-20
Deposit All from Inventory;Stort alles uit de inventaris
Ghorrock Dungeon;Ghorrock-kerker
The Stranglewood;Het Wurghout
The Scar;Het litteken
The Ancient Vault;De oude kluis
Lassar Undercity;Lassar-onderstad
Skeletal Grasp;Skeletachtige greep
Undead Grasp;Ondode greep
Take-from <col=00ffff>Fishing;Take-from <col=00ffff>Vissen
Take-from <col=00ffff>Hunting;Take-from <col=00ffff>Jagen
Take-from <col=00ffff>Herblore;Take-from <col=00ffff>Herblore
Default quantity: 119;Standaard aantal: 119
Deposit-888;Borg-888
Decorate;Versieren
Carve;Snijd
Buy: 1 x Iron pickaxe;Koop: 1 x ijzeren houweel
Withdraw-12;Intrekken-12
Default quantity: 12;Standaardhoeveelheid: 12
Deposit-12;Storting-12
Boss list;Baas lijst
Pirate's Cove;Piratenbaai
Island of Stone;Eiland van steen
Ungael;Ungaël
Waterbirth Island;Watergeboorte eiland
Default quantity: 448;Standaard aantal: 448
Deposit-448;Borg-448
Withdraw-448;Intrekken-448
Exit Speedrunning;Sluit Speedrunning af
Default quantity: 20;Standaardhoeveelheid: 20
Withdraw-11;Intrekken-11
Withdraw-6;Intrekken-6
Withdraw-2502;Intrekken-2502
Withdraw-30002;Intrekken-30002
Withdraw-3002;Intrekken-3002
Deposit-2502;Borg-2502
Deposit-30002;Borg-30002
Quick-travel;Snel reizen
Roll;Rollen
Default quantity: 30,002;Standaardhoeveelheid: 30.002
Step-over;Stap over
Menagerie (outdoors);Menagerie (buiten)
Menagerie (indoors);Menagerie (binnen)
Hall - Quest trophies;Hall - Quest-trofeeën
Buy: 5 x Stamina potion(4);Koop: 5 x Stamina-drankje(4)
Default quantity: 3,728;Standaardhoeveelheid: 3.728
Withdraw-3728;Intrekken-3728
Make <col=ff9040>Sapphire necklace</col>;Maak <col=ff9040>Saffierhalsketting</col>
Darkmeyer;Donkermeyer
Slepe;Slaap
Ver Sinhaza;Ver Sinhaza
Warrior's Guild;Krijgersgilde
